output
['Pasajero','tiempo_espera','tiempo_viaje','tiempo_transbordo','tiempo_total','
'],['passenger(315)','652.0','0.0','0.0','0.0','
'],['passenger(316)','652.0','0.0','0.0','0.0','
'],['passenger(317)','652.0','0.0','0.0','0.0','
'],['passenger(318)','652.0','0.0','0.0','0.0','
'],['passenger(319)','652.0','0.0','0.0','0.0','
'],['passenger(320)','652.0','0.0','0.0','0.0','
'],['passenger(321)','652.0','0.0','0.0','0.0','
'],['passenger(322)','652.0','0.0','0.0','0.0','
'],['passenger(323)','652.0','0.0','0.0','0.0','
'],['passenger(324)','652.0','0.0','0.0','0.0','
'],['passenger(325)','652.0','0.0','0.0','0.0','
'],['passenger(326)','652.0','0.0','0.0','0.0','
'],['passenger(327)','652.0','0.0','0.0','0.0','
'],['passenger(328)','652.0','0.0','0.0','0.0','
'],['passenger(329)','652.0','0.0','0.0','0.0','
'],['passenger(330)','652.0','0.0','0.0','0.0','
'],['passenger(331)','652.0','0.0','0.0','0.0','
'],['passenger(332)','652.0','0.0','0.0','0.0','
'],['passenger(333)','652.0','0.0','0.0','0.0','
'],['passenger(334)','652.0','0.0','0.0','0.0','
'],['passenger(335)','652.0','0.0','0.0','0.0','
'],['passenger(336)','652.0','0.0','0.0','0.0','
'],['passenger(337)','652.0','0.0','0.0','0.0','
'],['passenger(338)','652.0','0.0','0.0','0.0','
'],['passenger(339)','652.0','0.0','0.0','0.0','
'],['passenger(340)','652.0','0.0','0.0','0.0','
'],['passenger(341)','652.0','0.0','0.0','0.0','
']
